age,income,occupation,gender,state,category,disability,scheme_id,label
30,558443,business,female,Maharashtra,ST,yes,4,1
30,558443,business,female,Maharashtra,ST,yes,7,1
30,558443,business,female,Maharashtra,ST,yes,12,0
28,783477,unemployed,female,Maharashtra,General,no,6,1
28,783477,unemployed,female,Maharashtra,General,no,10,1
28,783477,unemployed,female,Maharashtra,General,no,11,0
28,783477,unemployed,female,Maharashtra,General,no,20,0
45,63523,government_employee,female,Maharashtra,General,no,3,1
45,63523,government_employee,female,Maharashtra,General,no,14,0
45,63523,government_employee,female,Maharashtra,General,no,23,1
45,63523,government_employee,female,Maharashtra,General,no,24,1
48,887064,student,male,Maharashtra,General,yes,10,0
48,887064,student,male,Maharashtra,General,yes,14,0
48,887064,student,male,Maharashtra,General,yes,20,0
48,887064,student,male,Maharashtra,General,yes,21,0
48,79790,salaried,female,Maharashtra,EWS,no,3,1
48,79790,salaried,female,Maharashtra,EWS,no,8,1
48,79790,salaried,female,Maharashtra,EWS,no,13,1
48,79790,salaried,female,Maharashtra,EWS,no,23,1
48,79790,salaried,female,Maharashtra,EWS,no,24,1
26,108182,salaried,female,Maharashtra,ST,no,1,0
26,108182,salaried,female,Maharashtra,ST,no,3,1
26,108182,salaried,female,Maharashtra,ST,no,8,1
26,108182,salaried,female,Maharashtra,ST,no,13,1
26,108182,salaried,female,Maharashtra,ST,no,23,1
26,108182,salaried,female,Maharashtra,ST,no,26,0
27,823668,business,female,Maharashtra,General,no,4,1
27,823668,business,female,Maharashtra,General,no,11,0
60,485403,self_employed,male,Maharashtra,SC,no,3,0
60,485403,self_employed,male,Maharashtra,SC,no,4,1
60,485403,self_employed,male,Maharashtra,SC,no,7,0
60,485403,self_employed,male,Maharashtra,SC,no,8,1
60,485403,self_employed,male,Maharashtra,SC,no,12,0
60,485403,self_employed,male,Maharashtra,SC,no,13,0
60,599548,farmer,female,Maharashtra,OBC,no,17,0
60,599548,farmer,female,Maharashtra,OBC,no,19,0
60,599548,farmer,female,Maharashtra,OBC,no,21,1
60,599548,farmer,female,Maharashtra,OBC,no,22,1
63,967920,salaried,male,Maharashtra,General,yes,9,0
63,967920,salaried,male,Maharashtra,General,yes,13,0
63,967920,salaried,male,Maharashtra,General,yes,18,0
63,967920,salaried,male,Maharashtra,General,yes,26,0
42,263680,student,male,Maharashtra,EWS,yes,3,0
42,263680,student,male,Maharashtra,EWS,yes,7,0
42,263680,student,male,Maharashtra,EWS,yes,12,1
42,263680,student,male,Maharashtra,EWS,yes,13,0
42,263680,student,male,Maharashtra,EWS,yes,15,0
42,263680,student,male,Maharashtra,EWS,yes,27,1
49,412089,government_employee,male,Maharashtra,ST,no,4,0
49,412089,government_employee,male,Maharashtra,ST,no,10,0
49,412089,government_employee,male,Maharashtra,ST,no,11,0
49,412089,government_employee,male,Maharashtra,ST,no,12,0
49,412089,government_employee,male,Maharashtra,ST,no,23,1
49,412089,government_employee,male,Maharashtra,ST,no,24,1
49,412089,government_employee,male,Maharashtra,ST,no,25,0
30,498365,government_employee,male,Maharashtra,General,yes,3,0
30,498365,government_employee,male,Maharashtra,General,yes,11,0
30,498365,government_employee,male,Maharashtra,General,yes,23,1
30,498365,government_employee,male,Maharashtra,General,yes,27,1
30,498365,government_employee,male,Maharashtra,General,yes,28,0
38,194952,salaried,male,Maharashtra,EWS,yes,3,1
38,194952,salaried,male,Maharashtra,EWS,yes,8,1
38,194952,salaried,male,Maharashtra,EWS,yes,12,1
38,194952,salaried,male,Maharashtra,EWS,yes,16,0
38,194952,salaried,male,Maharashtra,EWS,yes,20,0
38,194952,salaried,male,Maharashtra,EWS,yes,21,0
38,194952,salaried,male,Maharashtra,EWS,yes,23,1
